date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:32	1387/1387	---M--	200	added ('OK')	image/png	etag:%225141a3f-56b-54f9dfab24480%22	https://template.gridbootstrap.com/eventup/images/others/instagram.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/instagram.png	(from https://template.gridbootstrap.com/eventup/)
13:14:32	2097/2097	---M--	200	added ('OK')	image/png	etag:%225141a42-831-54f9dfc9a8c80%22	https://template.gridbootstrap.com/eventup/images/others/whatsapp.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/whatsapp.png	(from https://template.gridbootstrap.com/eventup/)
13:14:32	1299/1299	---M--	200	added ('OK')	image/png	etag:%225141a43-513-54f9dff0c28c0%22	https://template.gridbootstrap.com/eventup/images/others/google-plus.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/google-plus.png	(from https://template.gridbootstrap.com/eventup/)
13:14:33	85658/85658	---M--	200	added ('OK')	application/javascript	etag:%225141a01-14e9a-53e98a3772980%22	https://template.gridbootstrap.com/eventup/js/jquery.min.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/jquery.min.js	(from https://template.gridbootstrap.com/eventup/)
13:14:34	2391/2391	---M--	200	added ('OK')	application/javascript	etag:%2251419fe-957-538b91223e200%22	https://template.gridbootstrap.com/eventup/js/countdown.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/countdown.js	(from https://template.gridbootstrap.com/eventup/)
13:14:35	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%225141a00-90b5-5386a5fe3b280%22	https://template.gridbootstrap.com/eventup/js/bootstrap.min.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/bootstrap.min.js	(from https://template.gridbootstrap.com/eventup/)
13:14:35	41953/41953	---M--	200	added ('OK')	application/javascript	etag:%2251419fd-a3e1-54cf731f00580%22	https://template.gridbootstrap.com/eventup/js/slick.min.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/slick.min.js	(from https://template.gridbootstrap.com/eventup/)
13:14:36	21143/21143	---M--	200	added ('OK')	application/javascript	etag:%225141a02-5297-50fa3a7272680%22	https://template.gridbootstrap.com/eventup/js/magnific-popup.min.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/magnific-popup.min.js	(from https://template.gridbootstrap.com/eventup/)
13:14:36	30718/30718	---M--	200	added ('OK')	application/javascript	etag:%2251419fb-77fe-52662e79c8b80%22	https://template.gridbootstrap.com/eventup/js/gmaps.min.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/gmaps.min.js	(from https://template.gridbootstrap.com/eventup/)
13:14:36	5538/5538	---M--	200	added ('OK')	application/javascript	etag:%225141a4d-15a2-55e53eb9594e0%22	https://template.gridbootstrap.com/eventup/js/main.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/main.js	(from https://template.gridbootstrap.com/eventup/)
